FILENAME,websites,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
871920.txt,https://www.furniss-foods.co.uk,30,www.furniss-foods.co.uk,23,0,uk,100,0.5,0.028555,0.056877678,2,2,0,0,0,15,0.5,0,0,0,0,0,3,0.1,1,1426,9381,1,frniss-foodsco,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,38,34,113,100,1,110,1
8022412.txt,https://porezna-uprava-33a1c.web.app/,36,porezna-uprava-33a1c.web.app,28,0,app,51.72413793,0.416666667,0.001502,0.047058775,3,1,0,0,0,21,0.583,3,0.083,0,0,0,4,0.111,1,27,476,1,porezna-uprava-33a1cweb,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,3,0
8007536.txt,https://credisprezta.com/,24,credisprezta.com,16,0,com,69.25551471,1,0.5229071,0.061902509,3,0,0,0,0,15,0.625,0,0,0,0,0,1,0.042,1,9,92,1,credisprezta,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
35070.txt,https://www.chimani.com,22,www.chimani.com,15,0,com,100,1,0.5229071,0.066581514,3,1,0,0,0,9,0.409,0,0,0,0,0,1,0.045,1,671,292,1,chimani,100,100,1,0,1,0,0,1,0,2,0,1,1,1,1,0,0,0,1,13,16,29,94,4,8,1
7745537.txt,https://storageapi.fleek.co/f93bbabc-c9fe-416b-9895-abc3c414d6f4-bucket/tec10/index.html,87,storageapi.fleek.co,19,0,co,24.5072905,0.6875,0.0059772,0.039929165,2,1,0,0,0,50,0.575,18,0.207,0,0,0,11,0.126,1,2,96,0,0,0,1.351351351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
764392.txt,https://www.asianjewishlife.org,30,www.asianjewishlife.org,23,0,org,100,1,0.0799628,0.056663048,3,1,0,0,0,17,0.567,0,0,0,0,0,1,0.033,1,431,467,1,asianjewishlife,100,100,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,14,5,4,1,4,9,1
7906455.txt,https://doc-postale.firebaseapp.com/,35,doc-postale.firebaseapp.com,27,0,com,68.48989298,0.52173913,0.5229071,0.062701774,3,1,0,0,0,24,0.686,0,0,0,0,0,3,0.086,1,119,315,1,doc-postalefirebaseapp,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,1,0,0
574792.txt,https://www.nhpeducationconsultants.com,38,www.nhpeducationconsultants.com,31,0,com,100,1,0.5229071,0.061349195,3,1,0,0,0,25,0.658,0,0,0,0,0,1,0.026,1,1374,932,1,nhpeducationnsultants,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,73,1,11,117,6,133,1
mw19159.txt,http://www.kapustakapaet.com,27,www.kapustakapaet.com,21,0,com,64.16762784,1,0.5229071,0.058020247,3,1,0,0,0,15,0.556,0,0,0,0,0,1,0.037,0,14,221,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
8043115.txt,http://daviplata15155.vastserve.com/,36,daviplata15155.vastserve.com,28,0,com,52.08479944,0.625,0.5229071,0.047168064,3,1,0,0,0,21,0.583,5,0.139,0,0,0,3,0.083,0,2,839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
8053240.txt,https://dev-notificaciondeseguridaditau-py.pantheonsite.io,58,dev-notificaciondeseguridaditau-py.pantheonsite.io,50,0,io,39.64235294,0.595744681,0.0129268,0.059159562,2,1,0,0,0,46,0.793,0,0,0,0,0,4,0.069,1,141,161,1,dev-notificacndeseguridaditau-pypantheonsite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0
8055732.txt,https://briderflitgal.telengalibandre.repl.co,45,briderflitgal.telengalibandre.repl.co,37,0,co,35.61954558,0.470588235,0.0059772,0.057278712,2,2,0,0,0,34,0.756,0,0,0,0,0,3,0.067,1,198,869,1,briderflitgaltelengalibandrerepl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
741744.txt,https://www.kjvbible.org,23,www.kjvbible.org,16,0,org,100,1,0.0799628,0.043836681,3,1,0,0,0,10,0.435,0,0,0,0,0,1,0.043,1,647,493,1,kjvbible,100,100,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,31,1,0,2,0,5,1
40376.txt,https://www.cesarsway.com,24,www.cesarsway.com,17,0,com,100,1,0.5229071,0.063491156,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,2961,8197,1,cesarsway,100,100,0,1,1,0,0,1,0,2,1,1,1,1,1,0,1,0,1,28,39,41,246,3,264,1
8010910.txt,https://jlkjffjdfd.weebly.com/,29,jlkjffjdfd.weebly.com,21,0,com,53.43154869,0.647058824,0.5229071,0.036136789,3,1,0,0,0,19,0.655,0,0,0,0,0,2,0.069,1,129,368,1,jlkjffjdfdweebly,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0
624558.txt,https://www.kitchenspal.com,26,www.kitchenspal.com,19,0,com,100,1,0.5229071,0.058328366,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,1096,2996,1,kitchenspal,100,100,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,8,67,59,400,1,405,1
mw65955.txt,http://www.nnml.fbcode.co,24,www.nnml.fbcode.co,18,0,co,58.88888889,0.636363636,0.0059772,0.056820403,2,2,0,0,0,11,0.458,0,0,0,0,0,2,0.083,0,8,41,1,nnmlfbode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
731050.txt,https://www.kom24.no,19,www.kom24.no,12,0,no,100,1,0.0023289,0.04013088,2,1,0,0,0,4,0.211,2,0.105,0,0,0,1,0.053,1,7713,24424,1,kom24,100,100,0,0,1,0,0,1,0,2,0,1,1,1,0,1,1,0,0,36,7,20,120,0,52,1
725173.txt,https://www.religionresourcesonline.org,38,www.religionresourcesonline.org,31,0,org,100,1,0.0799628,0.068343678,3,1,0,0,0,25,0.658,0,0,0,0,0,1,0.026,1,490,479,1,religionresourcesonline,100,100,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,8,2,8,88,2,88,1
777452.txt,https://www.esparte.es,21,www.esparte.es,14,0,es,100,1,0.0064109,0.068485596,2,1,0,0,0,8,0.381,0,0,0,0,0,1,0.048,1,754,1044,1,spart,71.42857143,71.42857143,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,47,13,33,14,15,16,1
7682428.txt,https://s.free.fr/bydryjmv,25,s.free.fr,9,0,fr,45.2891488,0.833333333,0.0141483,0.042714822,2,1,0,0,0,14,0.56,0,0,0,0,0,3,0.12,1,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
807133.txt,https://www.theedwinblackshow.com,32,www.theedwinblackshow.com,25,0,com,100,1,0.5229071,0.053883322,3,1,0,0,0,19,0.594,0,0,0,0,0,1,0.031,1,310,3328,1,theedwinblackshow,100,100,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,6,5,8,26,0,8,1
505781.txt,https://www.prcouture.com,24,www.prcouture.com,17,0,com,100,1,0.5229071,0.064355793,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,1623,18744,1,pruture,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,29,36,45,137,4,151,1
mw9416.txt,http://www.blue.blocktrail.com,29,www.blue.blocktrail.com,23,0,com,88.7534626,0.733333333,0.5229071,0.057749424,3,2,0,0,0,16,0.552,0,0,0,0,0,2,0.069,0,16,93,1,blueblocktrail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534536.txt,https://www.alifeexotic.com,26,www.alifeexotic.com,19,0,com,100,1,0.5229071,0.065687356,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,712,8047,1,alifeexotic,100,100,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,38,5,18,93,0,105,1
8009272.txt,https://itaucardfaturadigital.app,32,itaucardfaturadigital.app,25,0,app,47.95076923,1,0.001502,0.055478752,3,0,0,0,0,23,0.719,0,0,0,0,0,1,0.031,1,3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495807.txt,https://www.cpaireland.ie,24,www.cpaireland.ie,17,0,ie,100,1,0.0015878,0.060874451,2,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,3037,34677,1,cpareland,0,0,1,1,1,0,0,1,0,2,0,1,1,1,0,0,1,0,1,13,3,10,379,0,16,1
8075153.txt,http://www.amazcazm-co-jp.amazocon.zyknq.top/,45,www.amazcazm-co-jp.amazocon.zyknq.top,37,0,top,27.96413331,0.310344828,0.0002752,0.053474592,3,3,0,0,0,28,0.622,0,0,0,0,0,6,0.133,0,2,537,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
101212.txt,https://www.eliteislandresorts.com,33,www.eliteislandresorts.com,26,0,com,100,1,0.5229071,0.066446714,3,1,0,0,0,20,0.606,0,0,0,0,0,1,0.03,1,1351,9493,1,eliteislandresorts,100,100,0,1,1,0,0,1,1,6,1,1,1,1,1,0,0,0,1,25,18,135,50,2,49,1
482736.txt,https://www.newworldsummit.eu,28,www.newworldsummit.eu,21,0,eu,100,1,0.0056158,0.055012594,2,1,0,0,0,15,0.536,0,0,0,0,0,1,0.036,1,341,1746,1,nwworldsummit,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,11,5,8,50,0,61,1
783028.txt,https://www.novaslp.net,22,www.novaslp.net,15,0,net,100,1,0.0384199,0.058107799,3,1,0,0,0,9,0.409,0,0,0,0,0,1,0.045,1,178,631,1,novaslp,100,100,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,7,2,8,0,1,12,1
m2w00722.txt,https://www.mutfakci.az,22,www.mutfakci.az,15,0,az,60.79059829,1,0.0001673,0.05316826,2,1,0,0,0,9,0.409,0,0,0,0,0,1,0.045,1,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
618667.txt,https://www.tomflowers.ch,24,www.tomflowers.ch,17,0,ch,100,1,0.0049832,0.060922332,2,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,2376,2675,1,tomflowers,100,100,1,0,1,0,0,1,0,19,0,1,1,1,1,1,1,0,1,22,5,27,136,6,38,1
8074693.txt,https://www.danieltolson.com/home.php,37,www.danieltolson.com,20,0,com,65.77230769,1,0.5229071,0.06222713,3,1,0,0,0,22,0.595,0,0,0,0,0,3,0.081,1,1214,191497,1,danieltolsonhomephp,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,1,0,0,0,1,0
883601.txt,https://www.locotalent.co.uk,27,www.locotalent.co.uk,20,0,uk,100,0.846153846,0.028555,0.069936076,2,2,0,0,0,13,0.481,0,0,0,0,0,2,0.074,1,1215,191,1,locotalentco,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,205,2,5,89,2,84,1
mw63074.txt,http://www.icloud-id-services.com,32,www.icloud-id-services.com,26,0,com,62.55839023,0.5,0.5229071,0.061747328,3,1,0,0,0,18,0.562,0,0,0,0,0,3,0.094,0,8,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496003.txt,https://www.vanderbeken-remodel.com,34,www.vanderbeken-remodel.com,27,0,com,100,0.631578947,0.5229071,0.063038789,3,1,0,0,0,20,0.588,0,0,0,0,0,2,0.059,1,1050,1542,1,vanderbeken-remodel,100,100,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,19,12,11,66,0,85,1
497034.txt,https://www.dogwoodforest.com,28,www.dogwoodforest.com,21,0,com,100,1,0.5229071,0.0640833,3,1,0,0,0,15,0.536,0,0,0,0,0,1,0.036,1,1009,9381,1,dogwoodforest,100,100,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,39,17,26,99,1,108,1
570380.txt,https://www.bellebrocante.com,28,www.bellebrocante.com,21,0,com,100,1,0.5229071,0.067110318,3,1,0,0,0,15,0.536,0,0,0,0,0,1,0.036,1,1004,657,1,bellebrocante,100,100,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,5,4,3,60,0,89,1
541376.txt,https://www.basicbeeboutique.com,31,www.basicbeeboutique.com,24,0,com,100,1,0.5229071,0.059523907,3,1,0,0,0,18,0.581,0,0,0,0,0,1,0.032,1,2680,5439,1,basicbeeboutique,100,100,0,0,1,0,0,1,0,20,0,0,1,1,1,1,1,0,1,55,54,32,122,0,34,1
mw5933.txt,http://www.api091901.camerac.xyz,31,www.api091901.camerac.xyz,25,0,xyz,40.61904762,0.823529412,0.0017496,0.039900158,3,2,0,0,0,12,0.387,6,0.194,0,0,0,2,0.065,0,2,39,0,0,5.882352941,5.882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25272.txt,https://www.haiku-os.org,23,www.haiku-os.org,16,0,org,100,0.75,0.0799628,0.059884557,3,1,0,0,0,9,0.391,0,0,0,0,0,2,0.087,1,416,1062,1,haiku-os,100,100,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,11,3,4,56,0,83,1
452834.txt,https://www.bridgesforpeace.com,30,www.bridgesforpeace.com,23,0,com,100,1,0.5229071,0.06262237,3,1,0,0,0,17,0.567,0,0,0,0,0,1,0.033,1,1265,9381,1,bridgesforpeace,100,100,1,1,1,0,0,0,0,3,0,1,1,0,0,1,1,0,1,38,29,40,165,0,177,1
588672.txt,https://www.j-gega.com,21,www.j-gega.com,14,0,com,100,0.833333333,0.5229071,0.058350565,3,1,0,0,0,7,0.333,0,0,0,0,0,2,0.095,1,469,3749,1,j-gega,100,100,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,11,19,19,54,0,56,1
529457.txt,https://www.melbournepolytechnic.edu.au,38,www.melbournepolytechnic.edu.au,31,0,au,100,0.875,0.0100856,0.058841996,2,2,0,0,0,24,0.632,0,0,0,0,0,2,0.053,1,1754,1725,1,melbournepolytechnicedu,0,0,1,0,1,0,0,1,0,2,0,1,1,1,0,0,1,0,1,60,1,8,215,4,21,1
8009621.txt,https://summer-truth-0c62.sharefile1.workers.dev/,48,summer-truth-0c62.sharefile1.workers.dev,40,0,dev,39.48780488,0.333333333,0.0009613,0.04920846,3,2,0,0,0,31,0.646,4,0.083,0,0,0,5,0.104,1,6,382329,0,0,2.777777778,2.777777778,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0
8020319.txt,https://opensea-nftx.godaddysites.com/,37,opensea-nftx.godaddysites.com,29,0,com,52.36150568,0.52,0.5229071,0.057861705,3,1,0,0,0,26,0.703,0,0,0,0,0,3,0.081,1,108,5803,1,opensea-nftxgodaddysites,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,1,1,3,0,6,1,0,3,0
133830.txt,https://www.dempseyandcarroll.com,32,www.dempseyandcarroll.com,25,0,com,100,1,0.5229071,0.06190726,3,1,0,0,0,19,0.594,0,0,0,0,0,1,0.031,1,5863,12542,1,dempseyandcarroll,100,100,0,0,1,0,0,1,0,19,0,1,1,1,1,1,1,0,1,100,2,33,168,18,39,1
478104.txt,https://www.flashtimer.de,24,www.flashtimer.de,17,0,de,100,1,0.0326503,0.052767953,2,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,3023,615,1,flashtimer,100,100,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,477,2,8,241,6,19,1
38199.txt,https://www.git-tower.com,24,www.git-tower.com,17,0,com,100,0.666666667,0.5229071,0.064176097,3,1,0,0,0,10,0.417,0,0,0,0,0,2,0.083,1,1131,22589,1,git-tower,100,100,1,0,1,0,0,1,0,4,0,1,1,1,0,0,0,0,1,15,3,6,105,4,106,1
52414.txt,https://www.vizwiz.com,21,www.vizwiz.com,14,0,com,100,1,0.5229071,0.041674331,3,1,0,0,0,8,0.381,0,0,0,0,0,1,0.048,1,9874,4004,1,vizwiz,100,100,1,0,0,0,0,0,0,19,0,1,1,0,0,0,1,0,0,45,5,26,546,0,608,1
686276.txt,https://www.olivetcollege.edu,28,www.olivetcollege.edu,21,0,edu,100,1,0.0115013,0.063469904,3,1,0,0,0,15,0.536,0,0,0,0,0,1,0.036,1,1266,9381,1,olivetcollege,100,100,1,1,1,0,0,0,0,5,0,1,1,1,0,0,0,0,1,17,33,36,186,2,193,1
870318.txt,https://www.rokotustieto.fi,26,www.rokotustieto.fi,19,0,fi,100,1,0.0027596,0.061958325,2,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,716,6383,1,rokotustieto,100,100,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,13,27,31,67,3,16,1
mw68815.txt,http://www.jscheide.com,22,www.jscheide.com,16,0,com,74.93112948,1,0.5229071,0.060567485,3,1,0,0,0,10,0.455,0,0,0,0,0,1,0.045,0,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
