FILENAME,websites,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
557233.txt,https://www.oyafestivalen.no,27,www.oyafestivalen.no,20,0,no,100,1,0.0023289,0.058266227,2,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,1852,4122,1,oyafestivale,92.30769231,92.30769231,1,0,0,0,0,1,0,4,0,1,0,1,0,0,0,0,1,248,1,4,56,0,13,1
651513.txt,https://www.htmlcssdersleriogreniyorum.com,41,www.htmlcssdersleriogreniyorum.com,34,0,com,100,1,0.5229071,0.061169071,3,1,0,0,0,28,0.683,0,0,0,0,0,1,0.024,1,368,697,1,htmlcssdersleriogreniyorum,100,100,0,1,1,0,0,1,0,3,0,1,0,0,0,0,0,0,1,5,9,10,9,3,65,1
mw158850.txt,http://www.tasut.com,20,www.tasut.com,13,0,com,88.39506173,1,0.5229071,0.064505485,3,1,0,0,0,8,0.4,0,0,0,0,0,1,0.05,0,48,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mw22216.txt,http://www.hideme.be,19,www.hideme.be,13,0,be,100,1,0.0033189,0.0544095,2,1,0,0,0,7,0.368,0,0,0,0,0,1,0.053,0,9,72,1,hideme,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
223321.txt,https://www.laspilitas.com,25,www.laspilitas.com,18,0,com,100,1,0.5229071,0.061816875,3,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,723,1094,1,laspilitas,100,100,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,19,3,7,120,0,90,1
391577.txt,https://www.ampermusic.com,25,www.ampermusic.com,18,0,com,100,1,0.5229071,0.065029897,3,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,325,470,1,ampermusic,100,100,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,11,1,5,12,0,3,1
902850.txt,https://www.reliablebookies.com,30,www.reliablebookies.com,23,0,com,100,1,0.5229071,0.06598418,3,1,0,0,0,17,0.567,0,0,0,0,0,1,0.033,1,676,9381,1,reliablebookies,100,100,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,49,15,34,77,0,80,1
467749.txt,https://www.epsom-sthelier.nhs.uk,32,www.epsom-sthelier.nhs.uk,25,0,uk,100,0.5,0.028555,0.057938958,2,2,0,0,0,17,0.531,0,0,0,0,0,3,0.094,1,1590,373,1,epsom-stheliernhs,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,34,4,26,86,9,20,1
25855.txt,https://www.sporx.com,20,www.sporx.com,13,0,com,100,1,0.5229071,0.060563899,3,1,0,0,0,7,0.35,0,0,0,0,0,1,0.05,1,2369,5629,1,sporx,100,100,1,0,1,1,0,1,0,7,0,1,1,0,0,0,1,0,0,128,9,28,340,0,151,1
mw202884.txt,http://www.alsirtailoring.com,28,www.alsirtailoring.com,22,0,com,72.90858726,1,0.5229071,0.064807147,3,1,0,0,0,16,0.571,0,0,0,0,0,1,0.036,0,39,211,1,alsirtailoring,100,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mw55880.txt,http://www.omwowxisx.ga,22,www.omwowxisx.ga,16,0,ga,51.4957265,1,0.0002256,0.044274324,2,1,0,0,0,10,0.455,0,0,0,0,0,1,0.045,0,8,49,1,omwowxisx,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255211.txt,https://www.laporra.es,21,www.laporra.es,14,0,es,100,1,0.0064109,0.068376107,2,1,0,0,0,8,0.381,0,0,0,0,0,1,0.048,1,935,780,1,laporra,100,100,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,33,13,22,37,0,6,1
8020251.txt,https://qatarpostalservice.net,29,qatarpostalservice.net,22,0,net,60.11498383,1,0.0384199,0.061753093,3,0,0,0,0,20,0.69,0,0,0,0,0,1,0.034,1,15,155,1,qatarpostalservice,100,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
778419.txt,https://www.nbcaugusta.com,25,www.nbcaugusta.com,18,0,com,100,1,0.5229071,0.057841769,3,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,2563,9381,1,nbcaugusta,100,100,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,52,7,11,299,1,303,1
777085.txt,https://www.festicineantioquia.com,33,www.festicineantioquia.com,26,0,com,100,1,0.5229071,0.063732291,3,1,0,0,0,20,0.606,0,0,0,0,0,1,0.03,1,449,949,1,festicineantioquia,100,100,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,8,6,19,47,1,10,1
630168.txt,https://www.candlovecandle.com,29,www.candlovecandle.com,22,0,com,100,1,0.5229071,0.064842905,3,1,0,0,0,16,0.552,0,0,0,0,0,1,0.034,1,3527,2679,1,candlovecandle,100,100,1,0,1,0,0,1,0,21,0,1,1,1,1,1,1,0,1,47,6,27,246,0,12,1
901875.txt,https://www.visitparaguay.net,28,www.visitparaguay.net,21,0,net,100,1,0.0384199,0.053371364,3,1,0,0,0,15,0.536,0,0,0,0,0,1,0.036,1,1075,9381,1,visitparaguay,100,100,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,31,7,16,200,0,200,1
mw142867.txt,http://www.primaage.com,22,www.primaage.com,16,0,com,83.54700855,1,0.5229071,0.06681025,3,1,0,0,0,10,0.455,0,0,0,0,0,1,0.045,0,15,155,1,primaage,100,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mw209184.txt,http://www.hangtrentroi.com,26,www.hangtrentroi.com,20,0,com,63.14338235,1,0.5229071,0.06524871,3,1,0,0,0,14,0.538,0,0,0,0,0,1,0.038,0,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mw184825.txt,http://www.h63302.srv4.test-hf.ru,33,www.h63302.srv4.test-hf.ru,26,0,ru,48.90406037,0.526315789,0.0180132,0.030444405,2,3,0,0,0,12,0.364,6,0.182,0,0,0,4,0.121,0,49,183,1,h63302srv4test-hf,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,5,0
839742.txt,https://www.gdayindia.com.au,27,www.gdayindia.com.au,20,0,au,100,0.769230769,0.0100856,0.059056117,2,2,0,0,0,13,0.481,0,0,0,0,0,2,0.074,1,3966,9458,1,gdyindicom,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,113,15,26,279,33,288,1
8007311.txt,https://late-dingos-suffer-209-127-18-151.loca.lt/,49,late-dingos-suffer-209-127-18-151.loca.lt,41,0,lt,24.95680009,0.263157895,0.0005524,0.039097807,2,1,0,0,0,22,0.449,11,0.224,0,0,0,8,0.163,1,2,58,0,0,2.631578947,2.631578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op393.txt,https://protechnodeals.com/campaigns/gf614bqk5m8e7/track-url/ah528o11d4538/3ea40f348a340f2074d2ae4aa44642ecf02938a5,115,protechnodeals.com,18,0,com,12.33942476,1,0.5229071,0.035061149,3,0,0,0,0,59,0.513,41,0.357,0,0,0,7,0.061,1,2,121,0,0,0,1.020408163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79601.txt,https://www.okhome.id,20,www.okhome.id,13,0,id,100,1,0.0014653,0.065588812,2,1,0,0,0,7,0.35,0,0,0,0,0,1,0.05,1,621,218,1,okhome,100,100,1,1,1,0,0,1,0,2,0,1,0,0,0,1,1,0,1,31,3,9,15,0,45,1
433970.txt,https://www.soxprospects.com,27,www.soxprospects.com,20,0,com,100,1,0.5229071,0.062853579,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,2521,308,1,soxprospects,100,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,89,0,6,3,0,28,1
m2w00124.txt,http://www.bafybeid3lqtonezjssy3u52e2codl4yoqwbjft5slj3uswjefqptwqfr7a.ipfs.dweb.link,84,www.bafybeid3lqtonezjssy3u52e2codl4yoqwbjft5slj3uswjefqptwqfr7a.ipfs.dweb.link,78,0,link,12.38470903,0.231884058,0.0003306,0.035290996,4,3,0,0,0,61,0.726,9,0.107,0,0,0,3,0.036,0,9,94,1,bafybeid3lqtonezjssy3u52e2codl4yoqwbjft5slj3uswjefqptwqfr7aipfsdweb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mw48562.txt,http://www.ratlittonrigh.com,27,www.ratlittonrigh.com,21,0,com,61.14359974,1,0.5229071,0.061838281,3,1,0,0,0,15,0.556,0,0,0,0,0,1,0.037,0,14,221,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
mw121613.txt,http://www.postemoserize.org,27,www.postemoserize.org,21,0,org,63.14338235,1,0.0799628,0.068076593,3,1,0,0,0,15,0.556,0,0,0,0,0,1,0.037,0,2,482,1,postemoserize,100,100,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mw6025.txt,http://www.adrd.xiaxiab.com,26,www.adrd.xiaxiab.com,20,0,com,58.4390619,0.666666667,0.5229071,0.053758905,3,2,0,0,0,13,0.5,0,0,0,0,0,2,0.077,0,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oph06305.txt,http://galiciaaa843.galiicia813.repl.co/,40,galiciaaa843.galiicia813.repl.co,32,0,co,32.32717803,0.448275862,0.0059772,0.051555818,2,2,0,0,0,23,0.575,6,0.15,0,0,0,4,0.1,0,4,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
mw71735.txt,http://www.ecomcourse.online,27,www.ecomcourse.online,21,0,online,64.09073433,1,0.0008457,0.070966117,6,1,0,0,0,15,0.556,0,0,0,0,0,1,0.037,0,17,200,1,ecomcourse,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
726185.txt,https://www.mahashivratri.org,28,www.mahashivratri.org,21,0,org,100,1,0.0799628,0.059385877,3,1,0,0,0,15,0.536,0,0,0,0,0,1,0.036,1,435,855,1,mahashivratri,100,100,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,28,2,8,8,0,54,1
84703.txt,https://www.lclark.edu,21,www.lclark.edu,14,0,edu,100,1,0.0115013,0.054733584,3,1,0,0,0,8,0.381,0,0,0,0,0,1,0.048,1,561,1856,1,lclark,100,100,0,0,1,0,0,0,0,7,0,1,1,1,0,0,0,0,0,178,5,7,88,0,29,1
4949.txt,https://www.softbank.jp,22,www.softbank.jp,15,0,jp,100,1,0.0230451,0.045707185,2,1,0,0,0,9,0.409,0,0,0,0,0,1,0.045,1,915,527,1,softbank,100,100,1,0,1,0,0,1,0,3,0,0,0,0,0,1,1,0,1,48,9,12,116,0,18,1
68535.txt,https://www.nooneliterecruitment.com,35,www.nooneliterecruitment.com,28,0,com,100,1,0.5229071,0.069821903,3,1,0,0,0,22,0.629,0,0,0,0,0,1,0.029,1,4170,43828,1,nooneliterecruitment,100,100,1,1,1,1,1,1,0,8,0,1,1,1,1,1,0,0,1,28,2,9,55,0,66,1
mw145428.txt,http://www.awam.be,17,www.awam.be,11,0,be,74.48979592,1,0.0033189,0.051688673,2,1,0,0,0,5,0.294,0,0,0,0,0,1,0.059,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mw132687.txt,http://www.sanaradyab.ir,24,www.sanaradyab.ir,17,0,ir,78.27557058,1,0.0012232,0.057772259,2,1,0,0,0,12,0.5,0,0,0,0,0,1,0.042,0,15,155,1,sanaradyab,100,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mw207276.txt,http://www.pranazfinance.com,28,www.pranazfinance.com,21,0,com,77.25795971,1,0.5229071,0.061661498,3,1,0,0,0,16,0.571,0,0,0,0,0,1,0.036,0,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mw145755.txt,http://www.vandamebuilders.com,29,www.vandamebuilders.com,23,0,com,88.91966759,1,0.5229071,0.05802262,3,1,0,0,0,17,0.586,0,0,0,0,0,1,0.034,0,15,155,1,vandamebuilders,100,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mw66048.txt,http://www.phlhjk.cannca.shop,28,www.phlhjk.cannca.shop,22,0,shop,43.33983106,0.538461538,0.0004041,0.049522376,4,2,0,0,0,15,0.536,0,0,0,0,0,2,0.071,0,8,41,1,phlhjkcannca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mw40816.txt,http://www.atomi.beeppool.org,28,www.atomi.beeppool.org,22,0,org,54.40215302,0.642857143,0.0799628,0.068526613,3,2,0,0,0,15,0.536,0,0,0,0,0,2,0.071,0,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mw51105.txt,http://www.rtam.net,18,www.rtam.net,12,0,net,76.53061224,1,0.0384199,0.067919235,3,1,0,0,0,6,0.333,0,0,0,0,0,1,0.056,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222683.txt,https://www.dementiastatistics.org,33,www.dementiastatistics.org,26,0,org,100,1,0.0799628,0.065289046,3,1,0,0,0,20,0.606,0,0,0,0,0,1,0.03,1,573,9381,1,dementiastatistics,100,100,1,1,1,0,0,1,0,2,0,1,1,0,1,0,0,0,0,12,7,9,67,0,80,1
460056.txt,https://www.jcie.org,19,www.jcie.org,12,0,org,100,1,0.0799628,0.065968427,3,1,0,0,0,6,0.316,0,0,0,0,0,1,0.053,1,3865,8047,1,jcie,100,100,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,21,53,50,98,148,103,1
mw31j0219.txt,http://www.tomarchiobibite.it,28,www.tomarchiobibite.it,22,0,it,94.99675114,1,0.012178,0.062820817,2,1,0,0,0,16,0.571,0,0,0,0,0,1,0.036,0,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590310.txt,https://www.tillababybox.it,26,www.tillababybox.it,19,0,it,100,1,0.012178,0.047571605,2,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,4821,67447,1,tllababybox,0,0,1,0,1,1,0,1,0,28,0,1,1,1,1,1,1,0,1,76,12,39,165,12,53,1
773569.txt,https://www.schulekloten.ch,26,www.schulekloten.ch,19,0,ch,100,1,0.0049832,0.057907401,2,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,583,9445,1,shulekloten,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,3,2,3,34,0,6,1
484186.txt,https://www.starwarslocations.com,32,www.starwarslocations.com,25,0,com,100,1,0.5229071,0.067007165,3,1,0,0,0,19,0.594,0,0,0,0,0,1,0.031,1,1270,1488,1,starwarslocations,100,100,1,0,1,1,1,0,0,2,1,1,1,1,1,0,0,0,0,13,2,9,205,1,218,1
643374.txt,https://www.annbuendia.com,25,www.annbuendia.com,18,0,com,100,1,0.5229071,0.062383383,3,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,730,562,1,annbuendia,100,100,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,5,11,17,6,1,14,1
mw143731.txt,http://www.buyitnowtoday.net,28,www.buyitnowtoday.net,21,0,net,59.13110342,1,0.0384199,0.052641097,3,1,0,0,0,16,0.571,0,0,0,0,0,1,0.036,0,4,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mw99327.txt,http://www.pointbooks.us,23,www.pointbooks.us,17,0,us,71.09044801,1,0.0045585,0.057661936,2,1,0,0,0,11,0.478,0,0,0,0,0,1,0.043,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616914.txt,https://www.goinggnome.com,25,www.goinggnome.com,18,0,com,100,1,0.5229071,0.06620144,3,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,1502,21290,1,goinggnome,100,100,1,0,1,1,1,1,0,19,0,1,1,0,1,1,1,0,1,18,4,23,80,0,12,1
mw169113.txt,http://www.yaoshuo.cn,21,www.yaoshuo.cn,14,0,cn,72,1,0.0033218,0.060174618,2,1,0,0,0,9,0.429,0,0,0,0,0,1,0.048,0,9,50,1,yaoshuo,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817506.txt,https://www.iffk.in,18,www.iffk.in,11,0,in,100,1,0.0050842,0.034407685,2,1,0,0,0,5,0.278,0,0,0,0,0,1,0.056,1,2219,1341,1,ffk,75,75,1,1,1,0,0,1,0,2,1,1,1,1,0,0,0,0,1,93,15,24,91,11,112,1
399861.txt,https://www.thomsenhomesllc.com,30,www.thomsenhomesllc.com,23,0,com,100,1,0.5229071,0.065447942,3,1,0,0,0,17,0.567,0,0,0,0,0,1,0.033,1,835,21923,1,thomsenhomesllc,100,100,0,1,1,0,0,1,0,6,0,1,1,1,0,0,0,0,1,20,27,47,52,0,56,1
m2w00248.txt,http://www.case7710452-appeal-review.web.app,43,www.case7710452-appeal-review.web.app,37,0,app,28.23745265,0.482758621,0.001502,0.043213805,3,2,0,0,0,21,0.488,7,0.163,0,0,0,4,0.093,0,2,53,0,0,3.448275862,3.448275862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813765.txt,https://www.goaholidayhomes.com,30,www.goaholidayhomes.com,23,0,com,100,1,0.5229071,0.063415984,3,1,0,0,0,17,0.567,0,0,0,0,0,1,0.033,1,480,622,1,goaholidayhomes,100,100,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,22,4,10,97,0,97,1
114935.txt,https://www.andthevalleyshook.com,32,www.andthevalleyshook.com,25,0,com,100,1,0.5229071,0.057599477,3,1,0,0,0,19,0.594,0,0,0,0,0,1,0.031,1,5796,29737,1,andthevalleyshook,100,100,1,0,1,0,0,1,0,2,0,1,1,0,0,1,0,1,1,100,4,15,181,0,276,1
8057025.txt,https://ashamedvirtuousvisitor--rtfjh456.repl.co/,49,ashamedvirtuousvisitor--rtfjh456.repl.co,40,0,co,25.75,0.72972973,0.0059772,0.050228273,2,1,0,0,0,33,0.673,3,0.061,0,0,0,5,0.102,1,198,869,1,ashamedvirtuousvisitor--rtfjh456repl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
8002896.txt,https://dismalexcitableoctal--seresres.repl.co/,46,dismalexcitableoctal--seresres.repl.co,38,0,co,31.3516585,0.628571429,0.0059772,0.063685489,2,1,0,0,0,34,0.739,0,0,0,0,0,4,0.087,1,198,869,1,dismalexcitableoctal--seresresrepl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
8037548.txt,https://wordpress-109852-0.cloudclusters.net/it5/arub4/aspnet-client.php,71,wordpress-109852-0.cloudclusters.net,36,0,net,22.35727163,0.625,0.0384199,0.047473084,3,1,0,0,0,45,0.634,9,0.127,0,0,0,9,0.127,1,9,80,1,wordpress-109852-0cloudclustersit5arub4asp-clientph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102317.txt,https://www.braceletbook.com,27,www.braceletbook.com,20,0,com,100,1,0.5229071,0.066787549,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,2519,1179,1,braceletbook,100,100,1,0,0,0,0,1,0,4,0,1,1,1,1,0,1,0,1,112,2,5,251,0,287,1
7998972.txt,https://pdsiimited-dot-sharepointpdf-367707.uk.r.appspot.com/,60,pdsiimited-dot-sharepointpdf-367707.uk.r.appspot.com,52,0,com,36.2858658,0.416666667,0.5229071,0.047381853,3,3,0,0,0,39,0.65,6,0.1,0,0,0,7,0.117,1,6,52814,0,0,2.083333333,2.083333333,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0
657383.txt,https://www.oaksandcompass.com,29,www.oaksandcompass.com,22,0,com,100,1,0.5229071,0.06591206,3,1,0,0,0,16,0.552,0,0,0,0,0,1,0.034,1,590,1820,1,oaksandmpass,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,20,1,7,38,0,49,1
41004.txt,https://www.slamonline.com,25,www.slamonline.com,18,0,com,100,1,0.5229071,0.069180661,3,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,1495,9381,1,slamonline,100,100,0,1,1,0,0,0,0,4,0,1,1,1,0,0,1,0,1,34,18,25,82,1,121,1
8043546.txt,http://ch00502.tw1.ru/fr,24,ch00502.tw1.ru,14,0,ru,35.75547866,0.727272727,0.0180132,0.024526751,2,1,0,0,0,8,0.333,6,0.25,0,0,0,3,0.125,0,9,38,1,ch00502tw1fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438499.txt,https://www.leathercelebrities.com,33,www.leathercelebrities.com,26,0,com,100,1,0.5229071,0.066307126,3,1,0,0,0,20,0.606,0,0,0,0,0,1,0.03,1,318,447,1,leathercelebrities,100,100,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,19,3,8,62,0,29,1
605373.txt,https://www.hughsacupuncture.com,31,www.hughsacupuncture.com,24,0,com,100,1,0.5229071,0.052811665,3,1,0,0,0,18,0.581,0,0,0,0,0,1,0.032,1,634,5465,1,hughsacupuncture,100,100,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,14,39,29,95,8,96,1
449417.txt,https://www.dev.juggle.org,25,www.dev.juggle.org,18,0,org,100,0.7,0.0799628,0.047415191,3,2,0,0,0,11,0.44,0,0,0,0,0,2,0.08,1,242,392,1,devjuggle,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,5,1,2,24,0,53,1
